Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
12,8,6,5,8/20 (40%),8,85/142 (60%),L.DJERE,18/28 (64%),74/167 (44%),44,166,56,63/85 (74%),29/57 (51%),51,65,197,184,154
1,5,12,8,5/11 (45%),2,97/167 (58%),M.KECMANOVIC,16/24 (67%),50/142 (35%),35,143,44,57/97 (59%),36/70 (51%),51,31,202,175,141
5,4,14,5,4/12 (33%),3,100/160 (63%),K.KHACHANOV,12/18 (67%),56/156 (36%),36,151,59,60/100 (60%),35/60 (58%),58,43,202,179,151
0,5,8,4,5/19 (26%),3,102/156 (65%),K.NISHIKORI,22/33 (67%),65/160 (41%),41,165,56,69/102 (68%),31/54 (57%),57,57,186,163,132
9,6,6,3,6/15 (40%),4,47/101 (47%),H.LAAKSONEN,10/12 (83%),45/108 (42%),42,111,43,35/47 (74%),31/54 (57%),57,53,211,186,137
4,3,9,6,3/9 (33%),5,77/108 (71%),R.BAUTISTA AGUT,7/19 (37%),35/101 (35%),35,98,25,47/77 (61%),16/31 (52%),52,17,193,179,154
5,6,6,2,6/10 (60%),6,58/87 (67%),C.RUUD,8/13 (62%),40/84 (48%),48,98,28,47/58 (81%),11/29 (38%),38,39,207,172,150
1,2,4,6,2/8 (25%),1,51/84 (61%),K.MAJCHRZAK,13/21 (62%),29/87 (33%),33,73,30,31/51 (61%),13/33 (39%),39,24,199,178,133
3,6,11,6,6/19 (32%),5,100/154 (65%),A.DAVIDOVICH FOKINA,15/22 (68%),66/164 (40%),40,161,59,67/100 (67%),28/54 (52%),52,33,,,
5,6,13,6,6/17 (35%),9,102/164 (62%),B.VAN DE ZANDSCHULP,26/42 (62%),59/154 (38%),38,157,70,67/102 (66%),31/62 (50%),50,50,,,
2,6,4,2,6/11 (55%),3,56/90 (62%),F.FOGNINI,16/22 (73%),39/87 (45%),45,98,32,38/56 (68%),21/34 (62%),62,29,200,170,138
4,2,5,6,2/6 (33%),2,54/87 (62%),M.FUCSOVICS,7/21 (33%),31/90 (34%),34,79,47,34/54 (63%),14/33 (42%),42,17,198,183,149
14,9,4,6,9/17 (53%),5,100/137 (73%),F.DELBONIS,19/22 (86%),60/128 (47%),47,144,51,70/100 (70%),14/37 (38%),38,54,203,175,153
2,6,8,9,6/10 (60%),8,83/128 (65%),P.ANDUJAR,16/20 (80%),53/137 (39%),39,121,51,53/83 (64%),15/45 (33%),33,32,184,172,142
8,8,11,4,8/18 (44%),3,61/87 (70%),S.TSITSIPAS,26/27 (96%),59/115 (51%),51,112,30,39/61 (64%),14/26 (54%),54,45,203,187,150
0,4,10,8,4/15 (27%),7,68/115 (59%),P.MARTINEZ,15/31 (48%),34/87 (39%),39,90,32,38/68 (56%),18/47 (38%),38,28,189,171,148
8,0,9,3,0/3 (0%),4,73/109 (67%),F.KRAJINOVIC,7/15 (47%),19/92 (21%),21,92,16,50/73 (68%),23/36 (64%),64,31,191,167,145
23,3,3,0,3/12 (25%),4,58/92 (63%),J.ISNER,16/20 (80%),36/109 (33%),33,109,30,53/58 (91%),20/34 (59%),59,60,219,171,164
20,6,8,7,6/14 (43%),7,105/155 (68%),T.MONTEIRO,17/38 (45%),68/175 (39%),39,166,42,76/105 (72%),22/50 (44%),44,60,,,
19,7,8,6,7/15 (47%),4,102/175 (58%),S.JOHNSON,18/24 (75%),57/155 (37%),37,164,55,74/102 (73%),33/73 (45%),45,61,,,
10,2,5,3,2/10 (20%),4,63/116 (54%),E.COUACAUD,14/27 (52%),34/110 (31%),31,108,27,46/63 (73%),28/53 (53%),53,38,209,192,136
3,3,8,2,3/8 (38%),3,77/110 (70%),P.CARRENO BUSTA,28/41 (68%),42/116 (36%),36,118,30,59/77 (77%),17/33 (52%),52,50,206,175,146
9,8,5,4,8/20 (40%),2,76/125 (61%),M.GIRON,18/19 (95%),64/150 (43%),43,148,53,59/76 (78%),25/49 (51%),51,50,209,181,142
6,4,12,8,4/9 (44%),7,106/150 (71%),G.PELLA,19/27 (70%),41/125 (33%),33,127,66,63/106 (59%),23/44 (52%),52,37,200,176,144
11,4,4,5,4/18 (22%),2,118/168 (70%),M.MCDONALD,26/47 (55%),67/186 (36%),36,177,56,81/118 (69%),29/50 (58%),58,56,193,173,128
11,5,14,4,5/9 (56%),4,124/186 (67%),C.GARIN,31/45 (69%),58/168 (35%),35,177,59,89/124 (72%),30/62 (48%),48,71,209,179,148
18,5,7,2,5/7 (71%),2,85/128 (66%),R.OPELKA,30/54 (56%),32/98 (33%),33,116,55,64/85 (75%),20/43 (47%),47,61,,,
1,2,2,5,2/9 (22%),8,56/98 (57%),J.MUNAR,8/11 (73%),44/128 (34%),34,110,18,43/56 (77%),23/42 (55%),55,18,,,
4,4,7,8,4/6 (67%),2,76/117 (65%),T.PAUL,23/28 (82%),31/89 (35%),35,90,46,44/76 (58%),15/41 (37%),37,20,217,170,145
4,8,2,4,8/15 (53%),2,50/89 (56%),D.MEDVEDEV,14/20 (70%),58/117 (50%),50,116,32,40/50 (80%),18/39 (46%),46,30,206,193,147
