Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
10,5,8,1,5/8 (63%),3,64/94 (68%),N.DJOKOVIC,14/20 (70%),33/74 (45%),45,98,22,48/64 (75%),17/30 (57%),57,32,202,180,129
5,1,3,5,1/9 (11%),3,47/74 (64%),P.CUEVAS,11/17 (65%),29/94 (31%),31,70,26,30/47 (64%),11/27 (41%),41,31,202,174,146
18,3,12,5,3/8 (38%),2,64/129 (50%),J.DUCKWORTH,13/19 (68%),33/111 (30%),30,112,43,47/64 (73%),32/65 (49%),49,38,,,
8,5,5,3,5/17 (29%),3,68/111 (61%),R.BERANKIS,16/20 (80%),50/129 (39%),39,128,36,51/68 (75%),27/43 (63%),63,47,,,
2,2,8,6,2/10 (20%),3,60/105 (57%),A.DE MINAUR,15/24 (63%),45/119 (38%),38,103,32,36/60 (60%),22/45 (49%),49,20,196,185,146
7,6,8,2,6/14 (43%),2,75/119 (63%),M.CECCHINATO,14/23 (61%),47/105 (45%),45,121,41,52/75 (69%),22/44 (50%),50,44,189,170,147
2,2,14,7,2/11 (18%),7,62/98 (63%),Y.NISHIOKA,18/38 (47%),36/97 (37%),37,86,43,35/62 (56%),15/36 (42%),42,29,,,
4,7,9,2,7/21 (33%),1,72/97 (74%),L.MUSETTI,12/15 (80%),48/98 (49%),49,109,24,46/72 (64%),15/25 (60%),60,39,,,
5,6,2,1,6/12 (50%),2,51/75 (68%),M.BERRETTINI,25/31 (81%),45/95 (47%),47,99,31,42/51 (82%),12/24 (50%),50,46,217,201,163
2,1,6,6,1/3 (33%),3,61/95 (64%),F.CORIA,9/19 (47%),21/75 (28%),28,71,17,35/61 (57%),15/34 (44%),44,13,192,170,142
6,4,1,1,4/16 (25%),2,60/95 (63%),S.KWON,8/13 (62%),56/138 (41%),41,125,29,45/60 (75%),24/35 (69%),69,40,193,171,149
17,1,12,4,1/2 (50%),3,77/138 (56%),A.SEPPI,16/27 (59%),26/95 (27%),27,108,45,56/77 (73%),26/61 (43%),43,40,189,172,136
9,4,10,7,4/9 (44%),0,65/116 (56%),T.FRITZ,9/20 (45%),47/122 (39%),39,114,43,39/65 (60%),28/51 (55%),55,29,217,197,144
6,7,5,4,7/17 (41%),6,75/122 (61%),D.KOEPFER,12/18 (67%),49/116 (42%),42,124,53,49/75 (65%),26/47 (55%),55,42,209,181,161
12,3,11,5,3/8 (38%),6,77/120 (64%),M.CILIC,15/19 (79%),36/117 (31%),31,111,44,58/77 (75%),17/43 (40%),40,43,212,196,154
16,5,5,3,5/16 (31%),1,80/117 (68%),R.FEDERER,8/15 (53%),45/120 (38%),38,126,27,60/80 (75%),21/37 (57%),57,47,199,183,156
3,7,3,1,7/16 (44%),3,45/77 (58%),R.NADAL,13/19 (68%),46/91 (51%),51,99,23,38/45 (84%),15/32 (47%),47,36,196,180,152
2,1,9,7,1/4 (25%),5,47/91 (52%),R.GASQUET,10/18 (56%),24/77 (31%),31,69,37,33/47 (70%),12/44 (27%),27,20,196,176,145
5,5,0,1,5/9 (56%),4,59/93 (63%),C.NORRIE,10/14 (71%),37/98 (38%),38,107,22,49/59 (83%),21/34 (62%),62,29,,,
9,1,4,5,1/1 (100%),2,69/98 (70%),L.HARRIS,8/14 (57%),23/93 (25%),25,84,37,48/69 (70%),13/29 (45%),45,31,,,
8,5,2,2,5/11 (45%),0,59/97 (61%),J.SINNER,8/14 (57%),46/117 (39%),39,118,22,45/59 (76%),27/38 (71%),71,38,207,187,146
5,2,6,5,2/4 (50%),5,70/117 (60%),G.MAGER,11/19 (58%),25/97 (26%),26,96,38,46/70 (66%),25/47 (53%),53,33,220,191,157
0,7,4,4,7/10 (70%),5,71/106 (67%),M.YMER,18/29 (62%),53/110 (48%),48,117,27,49/71 (69%),15/35 (43%),43,24,199,168,144
5,4,3,7,4/8 (50%),3,63/110 (57%),G.MONFILS,7/12 (58%),42/106 (40%),40,99,62,38/63 (60%),19/47 (40%),40,36,207,183,142
0,5,8,1,5/10 (50%),2,65/96 (68%),D.SCHWARTZMAN,10/13 (77%),45/95 (47%),47,111,28,45/65 (69%),21/31 (68%),68,19,182,159,141
9,1,5,5,1/9 (11%),9,49/95 (52%),A.BEDENE,10/17 (59%),30/96 (31%),31,80,55,30/49 (61%),20/46 (43%),43,32,201,187,137
7,3,4,1,3/3 (100%),2,83/129 (64%),P.KOHLSCHREIBER,9/13 (69%),26/98 (27%),27,117,26,63/83 (76%),28/46 (61%),61,29,201,169,141
10,1,0,3,1/5 (20%),2,57/98 (58%),A.KARATSEV,15/26 (58%),38/129 (29%),29,110,39,47/57 (82%),25/41 (61%),61,43,198,179,156
0,2,6,6,2/6 (33%),4,47/84 (56%),N.BASILASHVILI,3/6 (50%),25/81 (31%),31,73,33,28/47 (60%),20/37 (54%),54,16,196,176,152
10,6,4,2,6/12 (50%),1,55/81 (68%),C.ALCARAZ,2/3 (67%),36/84 (43%),43,92,26,43/55 (78%),13/26 (50%),50,27,210,176,147
4,1,8,3,1/5 (20%),7,74/112 (66%),F.BAGNIS,12/22 (55%),28/102 (27%),27,97,38,53/74 (72%),16/38 (42%),42,38,205,184,153
15,3,4,1,3/11 (27%),4,51/102 (50%),JL.STRUFF,32/40 (80%),43/112 (38%),38,117,24,42/51 (82%),32/51 (63%),63,43,217,195,151
15,4,1,3,4/9 (44%),10,66/100 (66%),A.ZVEREV,12/23 (52%),44/112 (39%),39,115,33,53/66 (80%),18/34 (53%),53,41,221,204,176
6,3,5,4,3/4 (75%),3,83/112 (74%),R.SAFIULLIN,15/19 (79%),29/100 (29%),29,97,31,56/83 (67%),12/29 (41%),41,32,205,182,146
