Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
3,2,3,7,2/5 (40%),6,60/106 (57%),L.DJERE,7/11 (64%),25/82 (30%),30,79,45,37/60 (62%),17/46 (37%),37,22,197,184,154
1,2,0,1,2/10 (20%),3,20/31 (65%),K.NISHIKORI,8/10 (80%),27/57 (47%),47,47,8,14/20 (70%),6/11 (55%),55,14,189,159,136
2,1,8,2,1/1 (100%),5,33/57 (58%),H.LAAKSONEN,1/2 (50%),11/31 (35%),35,41,17,22/33 (67%),8/24 (33%),33,14,203,187,139
6,8,10,4,8/20 (40%),6,106/165 (64%),C.RUUD,27/44 (61%),87/196 (44%),44,188,52,67/106 (63%),34/59 (58%),58,59,205,181,153
2,4,12,8,4/14 (29%),4,133/196 (68%),A.DAVIDOVICH FOKINA,20/32 (63%),64/165 (39%),39,173,61,85/133 (64%),24/63 (38%),38,59,210,171,136
3,1,8,6,1/5 (20%),3,76/108 (70%),F.FOGNINI,11/15 (73%),21/76 (28%),28,78,53,48/76 (63%),9/32 (28%),28,19,192,172,141
3,6,4,1,6/14 (43%),1,54/76 (71%),F.DELBONIS,6/9 (67%),51/108 (47%),47,106,24,42/54 (78%),13/22 (59%),59,14,208,180,140
8,3,3,1,3/7 (43%),5,71/119 (60%),S.TSITSIPAS,15/20 (75%),35/111 (32%),32,125,19,61/71 (86%),29/48 (60%),60,40,203,188,153
19,1,4,3,1/4 (25%),1,74/111 (67%),J.ISNER,31/47 (66%),29/119 (24%),24,105,29,57/74 (77%),19/37 (51%),51,52,214,197,175
8,1,4,5,1/6 (17%),5,52/91 (57%),S.JOHNSON,10/15 (67%),31/93 (33%),33,82,31,36/52 (69%),15/39 (38%),38,30,205,188,149
5,5,5,1,5/9 (56%),2,66/93 (71%),P.CARRENO BUSTA,20/28 (71%),40/91 (44%),44,102,26,46/66 (70%),16/27 (59%),59,34,202,175,145
6,3,10,9,3/8 (38%),4,63/114 (55%),M.GIRON,12/27 (44%),38/105 (36%),36,96,42,37/63 (59%),21/51 (41%),41,30,205,181,142
2,9,5,3,9/19 (47%),1,69/105 (66%),C.GARIN,20/24 (83%),56/114 (49%),49,123,39,48/69 (70%),19/36 (53%),53,41,204,179,138
5,1,11,5,1/3 (33%),2,60/88 (68%),R.OPELKA,24/43 (56%),18/73 (25%),25,66,36,37/60 (62%),11/28 (39%),39,26,220,197,165
10,5,2,1,5/16 (31%),4,38/73 (52%),D.MEDVEDEV,3/4 (75%),40/88 (45%),45,95,16,34/38 (89%),21/35 (60%),60,28,202,191,153
