Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
5,6,0,0,6/9 (67%),3,42/67 (63%),N.DJOKOVIC,11/15 (73%),37/75 (49%),49,87,18,37/42 (88%),13/25 (52%),52,30,200,183,151
1,0,3,6,0/0 (0%),3,53/75 (71%),R.BERANKIS,12/22 (55%),17/67 (25%),25,55,36,31/53 (58%),7/22 (32%),32,20,189,174,145
1,4,8,5,4/11 (36%),4,105/133 (79%),M.CECCHINATO,36/57 (63%),52/143 (36%),36,137,47,70/105 (67%),15/28 (54%),54,56,189,168,144
2,5,7,4,5/13 (38%),3,101/143 (71%),L.MUSETTI,29/53 (55%),48/133 (36%),36,139,41,66/101 (65%),25/42 (60%),60,50,201,169,138
23,2,0,0,2/10 (20%),2,62/89 (70%),M.BERRETTINI,17/23 (74%),40/105 (38%),38,108,36,52/62 (84%),16/27 (59%),59,53,216,195,164
1,0,8,2,0/0 (0%),3,61/105 (58%),S.KWON,6/13 (46%),21/89 (24%),24,86,25,44/61 (72%),21/44 (48%),48,20,191,177,153
11,4,9,5,4/6 (67%),4,95/161 (59%),D.KOEPFER,21/41 (51%),56/158 (35%),35,159,40,62/95 (65%),41/66 (62%),62,55,205,182,161
6,5,2,4,5/14 (36%),1,101/158 (64%),R.FEDERER,48/67 (72%),58/161 (36%),36,160,63,69/101 (68%),33/57 (58%),58,51,197,174,143
3,6,1,2,6/12 (50%),2,47/76 (62%),R.NADAL,13/15 (87%),39/81 (48%),48,92,29,37/47 (79%),16/29 (55%),55,35,194,179,144
2,2,6,6,2/3 (67%),1,48/81 (59%),C.NORRIE,8/16 (50%),23/76 (30%),30,65,21,27/48 (56%),15/33 (45%),45,15,195,169,130
5,6,10,1,6/16 (38%),3,52/92 (57%),J.SINNER,16/25 (64%),50/106 (47%),47,113,45,42/52 (81%),21/40 (53%),53,44,200,178,145
0,1,10,6,1/11 (9%),3,71/106 (67%),M.YMER,17/21 (81%),29/92 (32%),32,85,30,42/71 (59%),14/35 (40%),40,20,199,170,145
0,7,1,1,7/13 (54%),0,43/64 (67%),D.SCHWARTZMAN,17/24 (71%),49/91 (54%),54,95,24,33/43 (77%),13/21 (62%),62,24,180,165,136
2,1,6,7,1/2 (50%),0,58/91 (64%),P.KOHLSCHREIBER,8/17 (47%),18/64 (28%),28,60,37,28/58 (48%),14/33 (42%),42,12,193,173,143
3,3,5,6,3/8 (38%),1,59/100 (59%),C.ALCARAZ,8/14 (57%),32/94 (34%),34,87,37,31/59 (53%),24/41 (59%),59,31,209,177,147
10,6,5,3,6/11 (55%),3,42/94 (45%),JL.STRUFF,25/38 (66%),45/100 (45%),45,107,35,35/42 (83%),27/52 (52%),52,37,220,202,155
4,7,3,2,7/10 (70%),4,58/82 (71%),A.ZVEREV,18/24 (75%),52/106 (49%),49,109,36,42/58 (72%),15/24 (63%),63,31,218,206,159
