Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
10,4,3,0,4/9 (44%),1,92/132 (70%),N.DJOKOVIC,17/19 (89%),56/144 (39%),39,153,19,71/92 (77%),26/40 (65%),65,44,201,180,141
11,0,5,4,0/3 (0%),3,94/144 (65%),M.BERRETTINI,8/19 (42%),35/132 (27%),27,123,51,67/94 (71%),21/50 (42%),42,55,216,199,164
6,7,1,3,7/14 (50%),3,60/91 (66%),R.NADAL,11/15 (73%),43/94 (46%),46,108,29,44/60 (73%),21/31 (68%),68,35,200,184,150
3,3,7,7,3/4 (75%),3,59/94 (63%),D.SCHWARTZMAN,10/12 (83%),26/91 (29%),29,77,39,35/59 (59%),16/35 (46%),46,26,184,170,142
3,9,3,3,9/15 (60%),3,34/62 (55%),A.ZVEREV,12/19 (63%),43/73 (59%),59,85,16,26/34 (76%),16/28 (57%),57,24,218,207,160
0,3,6,9,3/6 (50%),3,44/73 (60%),A.DAVIDOVICH FOKINA,7/10 (70%),20/62 (32%),32,50,37,21/44 (48%),9/29 (31%),31,16,201,166,145
3,4,6,2,4/7 (57%),1,66/102 (65%),S.TSITSIPAS,24/32 (75%),43/107 (40%),40,118,24,48/66 (73%),27/36 (75%),75,33,203,187,150
5,2,3,4,2/8 (25%),0,72/107 (67%),D.MEDVEDEV,18/23 (78%),27/102 (26%),26,91,44,43/72 (60%),21/35 (60%),60,31,205,187,151
