Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
6,8,10,6,8/22 (36%),3,85/133 (64%),N.DJOKOVIC,20/31 (65%),63/133 (47%),47,142,37,55/85 (65%),24/48 (50%),50,50,199,185,133
6,6,14,8,6/16 (38%),8,86/133 (65%),R.NADAL,11/15 (73%),54/133 (41%),41,124,55,51/86 (59%),19/47 (40%),40,48,202,180,146
11,3,9,5,3/6 (50%),7,99/142 (70%),A.ZVEREV,23/35 (66%),44/138 (32%),32,135,47,74/99 (75%),17/43 (40%),40,45,225,209,156
8,5,3,3,5/14 (36%),3,94/138 (68%),S.TSITSIPAS,24/33 (73%),51/142 (36%),36,145,43,71/94 (76%),23/44 (52%),52,36,203,183,147
