Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
19,2,8,4,2/8 (25%),5,82/134 (61%),JW.TSONGA,18/27 (67%),41/126 (33%),33,123,73,60/82 (73%),22/52 (42%),42,61,213,193,147
2,4,6,2,4/12 (33%),2,90/126 (71%),Y.NISHIOKA,14/21 (67%),52/134 (39%),39,137,21,66/90 (73%),19/36 (53%),53,21,184,163,135
3,6,6,2,6/13 (46%),1,75/105 (71%),L.MUSETTI,9/14 (64%),46/98 (47%),47,114,27,53/75 (71%),15/30 (50%),50,23,211,170,146
7,2,7,6,2/8 (25%),4,55/98 (56%),D.GOFFIN,23/29 (79%),37/105 (35%),35,89,48,38/55 (69%),14/43 (33%),33,37,203,182,130
14,5,0,1,5/11 (45%),4,59/85 (69%),M.BERRETTINI,11/13 (85%),49/121 (40%),40,118,33,53/59 (90%),16/26 (62%),62,47,223,196,168
4,1,6,5,1/1 (100%),8,81/121 (67%),T.DANIEL,6/14 (43%),16/85 (19%),19,88,28,51/81 (63%),21/40 (53%),53,16,206,172,144
5,5,0,1,5/10 (50%),4,65/80 (81%),F.CORIA,8/13 (62%),38/94 (40%),40,97,18,54/65 (83%),5/15 (33%),33,19,,,
10,1,5,5,1/1 (100%),4,53/94 (56%),F.LOPEZ,11/30 (37%),21/80 (26%),26,77,46,37/53 (70%),19/41 (46%),46,32,,,
30,3,9,3,3/7 (43%),3,78/127 (61%),K.ANDERSON,12/25 (48%),49/143 (34%),34,137,46,64/78 (82%),24/49 (49%),49,54,,,
8,3,4,3,3/12 (25%),9,76/143 (53%),S.KWON,8/13 (62%),39/127 (31%),31,133,36,57/76 (75%),37/67 (55%),55,39,,,
5,4,10,2,4/13 (31%),7,76/140 (54%),A.SEPPI,7/7 (100%),50/141 (35%),35,143,39,55/76 (72%),38/64 (59%),59,29,192,173,137
12,2,9,4,2/12 (17%),6,95/141 (67%),F.AUGER-ALIASSIME,10/20 (50%),47/140 (34%),34,138,60,66/95 (69%),25/46 (54%),54,36,205,182,158
7,5,1,1,5/10 (50%),3,41/72 (57%),T.FRITZ,8/12 (67%),37/84 (44%),44,92,24,34/41 (83%),21/31 (68%),68,34,,,
1,1,5,5,1/2 (50%),2,50/84 (60%),J.SOUSA,6/7 (86%),17/72 (24%),24,64,16,33/50 (66%),14/34 (41%),41,12,,,
1,1,7,5,1/10 (10%),2,61/90 (68%),M.BOURGUE,17/26 (65%),35/100 (35%),35,84,40,38/61 (62%),11/29 (38%),38,27,199,170,150
3,5,9,1,5/12 (42%),4,60/100 (60%),D.KOEPFER,6/13 (46%),41/90 (46%),46,106,35,43/60 (72%),22/40 (55%),55,25,197,168,151
8,6,5,1,6/17 (35%),0,53/81 (65%),M.CILIC,7/7 (100%),56/120 (47%),47,115,25,45/53 (85%),14/28 (50%),50,38,208,192,149
10,1,11,6,1/6 (17%),6,71/120 (59%),A.RINDERKNECH,9/14 (64%),22/81 (27%),27,86,42,43/71 (61%),21/49 (43%),43,23,213,191,155
3,0,8,5,0/0 (0%),4,61/87 (70%),D.ISTOMIN,6/14 (43%),13/65 (20%),20,62,14,36/61 (59%),13/26 (50%),50,18,195,181,144
8,5,0,0,5/13 (38%),0,46/65 (71%),R.FEDERER,19/24 (79%),38/87 (44%),44,90,20,37/46 (80%),15/19 (79%),79,48,195,172,147
7,4,3,1,4/11 (36%),5,59/93 (63%),R.NADAL,10/14 (71%),32/89 (36%),36,99,23,48/59 (81%),19/34 (56%),56,28,198,176,158
8,1,7,4,1/4 (25%),5,51/89 (57%),A.POPYRIN,11/19 (58%),26/93 (28%),28,83,43,40/51 (78%),17/38 (45%),45,34,212,193,151
2,1,11,6,1/1 (100%),4,41/87 (47%),H.GASTON,12/17 (71%),15/65 (23%),23,59,35,24/41 (59%),20/46 (43%),43,27,193,168,131
5,6,0,1,6/17 (35%),3,39/65 (60%),R.GASQUET,20/27 (74%),43/87 (49%),49,93,18,30/39 (77%),20/26 (77%),77,28,202,180,147
9,6,9,3,6/12 (50%),5,71/119 (60%),C.NORRIE,11/18 (61%),40/97 (41%),41,113,34,54/71 (76%),19/48 (40%),40,33,194,175,138
8,3,6,6,3/12 (25%),1,60/97 (62%),B.FRATANGELO,6/12 (50%),46/119 (39%),39,103,43,37/60 (62%),20/37 (54%),54,38,196,177,140
6,4,6,1,4/12 (33%),1,61/90 (68%),L.HARRIS,22/34 (65%),36/97 (37%),37,102,30,46/61 (75%),20/29 (69%),69,40,206,190,149
5,1,8,4,1/7 (14%),4,59/97 (61%),L.SONEGO,18/22 (82%),24/90 (27%),27,85,27,39/59 (66%),22/38 (58%),58,31,207,188,141
5,8,8,4,8/10 (80%),4,95/154 (62%),J.SINNER,19/31 (61%),63/151 (42%),42,163,36,65/95 (68%),35/59 (59%),59,43,207,179,147
13,4,2,8,4/12 (33%),12,79/151 (52%),PH.HERBERT,42/72 (58%),54/154 (35%),35,142,62,53/79 (67%),35/72 (49%),49,58,210,178,162
11,6,10,3,6/12 (50%),5,86/137 (63%),G.MAGER,12/18 (67%),46/120 (38%),38,133,54,65/86 (76%),22/51 (43%),43,47,,,
4,3,6,6,3/13 (23%),3,69/120 (57%),P.GOJOWCZYK,12/17 (71%),50/137 (36%),36,124,42,49/69 (71%),25/51 (49%),49,37,,,
6,11,16,10,11/15 (73%),3,109/147 (74%),M.YMER,14/21 (67%),56/109 (51%),51,132,66,60/109 (55%),16/38 (42%),42,45,,,
3,10,4,11,10/26 (38%),6,69/109 (63%),R.CARBALLES BAENA,7/12 (58%),71/147 (48%),48,124,48,33/69 (48%),20/40 (50%),50,29,,,
1,5,4,5,5/13 (38%),5,76/129 (59%),A.RAMOS-VINOLAS,12/15 (80%),58/135 (43%),43,134,42,43/76 (57%),33/53 (62%),62,28,189,172,137
12,5,8,5,5/9 (56%),9,73/135 (54%),G.MONFILS,13/19 (68%),53/129 (41%),41,130,75,55/73 (75%),22/62 (35%),35,60,208,188,146
3,8,3,2,8/12 (67%),2,41/71 (58%),D.SCHWARTZMAN,5/8 (63%),42/75 (56%),56,91,10,32/41 (78%),17/30 (57%),57,30,181,157,135
1,2,4,8,2/5 (40%),4,40/75 (53%),YH.LU,19/31 (61%),22/71 (31%),31,55,37,22/40 (55%),11/35 (31%),31,23,187,169,139
8,2,10,5,2/3 (67%),4,76/153 (50%),A.MANNARINO,9/18 (50%),37/118 (31%),31,128,48,55/76 (72%),36/77 (47%),47,36,194,167,126
15,5,1,2,5/15 (33%),8,54/118 (46%),A.BEDENE,15/25 (60%),62/153 (41%),41,143,62,48/54 (89%),33/64 (52%),52,56,201,180,131
10,4,13,3,4/17 (24%),5,63/112 (56%),P.KOHLSCHREIBER,6/8 (75%),56/142 (39%),39,135,28,46/63 (73%),33/49 (67%),67,35,,,
7,3,13,4,3/16 (19%),9,88/142 (62%),F.VERDASCO,9/14 (64%),33/112 (29%),29,119,49,58/88 (66%),28/54 (52%),52,40,,,
1,1,7,4,1/1 (100%),2,51/84 (61%),J.BROOKSBY,5/10 (50%),20/77 (26%),26,69,12,31/51 (61%),18/33 (55%),55,9,,,
3,4,0,1,4/11 (36%),4,46/77 (60%),A.KARATSEV,8/13 (62%),35/84 (42%),42,92,20,37/46 (80%),20/31 (65%),65,34,,,
2,8,2,6,8/12 (67%),3,61/90 (68%),N.BASILASHVILI,13/13 (100%),53/111 (48%),48,103,48,35/61 (57%),15/29 (52%),52,30,,,
6,6,4,8,6/8 (75%),3,73/111 (66%),D.LAJOVIC,0/3 (0%),40/90 (44%),44,98,20,41/73 (56%),17/38 (45%),45,20,,,
2,8,6,6,8/15 (53%),6,84/137 (61%),C.ALCARAZ,20/27 (74%),55/118 (47%),47,135,34,50/84 (60%),30/53 (57%),57,41,,,
3,6,7,8,6/12 (50%),2,77/118 (65%),B.ZAPATA MIRALLES,9/20 (45%),57/137 (42%),42,120,25,46/77 (60%),17/41 (41%),41,20,,,
5,4,6,1,4/12 (33%),2,49/97 (51%),F.BAGNIS,10/20 (50%),50/113 (44%),44,119,24,39/49 (80%),30/48 (63%),63,37,203,184,154
8,1,8,4,1/7 (14%),4,69/113 (61%),B.BONZI,21/31 (68%),28/97 (29%),29,91,47,41/69 (59%),22/44 (50%),50,31,211,188,150
25,3,9,4,3/15 (20%),11,91/181 (50%),JL.STRUFF,30/53 (57%),54/159 (34%),34,170,55,72/91 (79%),44/90 (49%),49,63,222,201,152
13,4,12,3,4/13 (31%),8,74/159 (47%),A.RUBLEV,10/13 (77%),65/181 (36%),36,170,47,57/74 (77%),48/85 (56%),56,65,211,191,144
9,8,2,4,8/16 (50%),8,62/108 (57%),A.ZVEREV,26/41 (63%),63/136 (46%),46,136,32,46/62 (74%),27/46 (59%),59,50,218,199,164
2,4,8,8,4/6 (67%),5,90/136 (66%),O.OTTE,29/43 (67%),35/108 (32%),32,108,38,57/90 (63%),16/46 (35%),35,38,209,176,118
8,6,7,3,6/16 (38%),1,74/115 (64%),R.SAFIULLIN,17/23 (74%),50/118 (42%),42,125,44,52/74 (70%),23/41 (56%),56,44,,,
2,3,10,6,3/10 (30%),3,79/118 (67%),C.TABERNER,10/14 (71%),40/115 (35%),35,108,36,52/79 (66%),16/39 (41%),41,26,,,
3,5,15,7,5/21 (24%),4,112/174 (64%),C.MOUTET,20/33 (61%),70/178 (39%),39,167,62,69/112 (62%),28/62 (45%),45,45,190,167,137
9,7,16,5,7/22 (32%),6,101/178 (57%),L.DJERE,34/50 (68%),77/174 (44%),44,185,62,71/101 (70%),37/77 (48%),48,66,198,182,153
1,9,8,7,9/28 (32%),2,71/113 (63%),M.KECMANOVIC,16/30 (53%),75/149 (50%),50,139,33,43/71 (61%),21/42 (50%),50,50,192,166,143
6,7,19,9,7/15 (47%),3,96/149 (64%),D.EVANS,37/61 (61%),49/113 (43%),43,123,45,51/96 (53%),23/53 (43%),43,55,197,173,146
5,6,2,0,6/10 (60%),1,44/69 (64%),K.KHACHANOV,4/4 (100%),33/67 (49%),49,83,17,38/44 (86%),12/25 (48%),48,31,,,
1,0,4,6,0/2 (0%),3,46/67 (69%),J.VESELY,5/10 (50%),19/69 (28%),28,53,28,29/46 (63%),5/21 (24%),24,14,,,
2,10,10,7,10/29 (34%),5,89/143 (62%),K.NISHIKORI,34/50 (68%),74/169 (44%),44,168,66,65/89 (73%),29/54 (54%),54,56,189,166,134
5,7,19,10,7/17 (41%),6,100/169 (59%),A.GIANNESSI,25/40 (63%),49/143 (34%),34,144,50,59/100 (59%),36/69 (52%),52,38,190,175,147
2,1,7,6,1/2 (50%),3,67/110 (61%),Y.HANFMANN,17/26 (65%),27/94 (29%),29,90,31,43/67 (64%),20/43 (47%),47,23,,,
10,6,1,1,6/13 (46%),3,56/94 (60%),H.LAAKSONEN,6/13 (46%),47/110 (43%),43,114,23,46/56 (82%),21/38 (55%),55,38,,,
7,1,5,5,1/4 (25%),9,50/97 (52%),M.VILELLA MARTINEZ,9/21 (43%),14/68 (21%),21,69,47,36/50 (72%),19/47 (40%),40,35,218,184,162
2,5,3,1,5/10 (50%),2,43/68 (63%),R.BAUTISTA AGUT,12/20 (60%),42/97 (43%),43,96,10,35/43 (81%),19/25 (76%),76,22,191,173,153
3,6,4,3,6/14 (43%),3,79/135 (59%),C.RUUD,12/21 (57%),53/125 (42%),42,140,25,52/79 (66%),35/56 (63%),63,28,206,182,152
7,3,8,6,3/7 (43%),7,68/125 (54%),B.PAIRE,38/52 (73%),48/135 (36%),36,120,70,49/68 (72%),23/57 (40%),40,64,205,186,135
12,5,8,4,5/19 (26%),2,76/138 (55%),K.MAJCHRZAK,25/43 (58%),65/156 (42%),42,150,40,50/76 (66%),35/62 (56%),56,54,199,172,140
9,4,14,5,4/12 (33%),1,88/156 (56%),A.CAZAUX,17/32 (53%),53/138 (38%),38,144,47,57/88 (65%),34/68 (50%),50,52,215,184,146
8,6,0,2,6/15 (40%),3,47/75 (63%),A.DAVIDOVICH FOKINA,14/18 (78%),46/100 (46%),46,97,34,35/47 (74%),16/28 (57%),57,35,213,181,148
5,2,9,6,2/2 (100%),4,58/100 (58%),M.KUKUSHKIN,12/17 (71%),24/75 (32%),32,78,35,36/58 (62%),18/42 (43%),43,22,192,176,135
5,7,6,2,7/14 (50%),6,97/163 (60%),B.VAN DE ZANDSCHULP,34/44 (77%),56/154 (36%),36,169,35,71/97 (73%),42/66 (64%),64,55,212,186,143
11,2,7,7,2/8 (25%),2,100/154 (65%),H.HURKACZ,19/36 (53%),50/163 (31%),31,148,62,70/100 (70%),28/54 (52%),52,44,215,189,154
2,6,7,2,6/13 (46%),5,61/103 (59%),F.FOGNINI,12/17 (71%),45/90 (50%),50,110,52,41/61 (67%),24/42 (57%),57,31,191,138,97
2,2,7,6,2/9 (22%),5,52/90 (58%),G.BARRERE,7/15 (47%),38/103 (37%),37,83,47,28/52 (54%),17/38 (45%),45,12,196,141,114
4,8,6,4,8/16 (50%),3,56/99 (57%),M.FUCSOVICS,22/30 (73%),61/121 (50%),50,120,50,37/56 (66%),22/43 (51%),51,38,196,178,141
0,4,8,8,4/10 (40%),3,95/121 (79%),G.SIMON,14/25 (56%),40/99 (40%),40,100,45,47/95 (49%),13/26 (50%),50,15,184,148,122
0,4,3,10,4/16 (25%),10,45/82 (55%),R.ALBOT,7/15 (47%),36/92 (39%),39,68,27,22/45 (49%),10/37 (27%),27,22,,,
1,10,12,4,10/13 (77%),4,53/92 (58%),F.DELBONIS,11/19 (58%),50/82 (61%),61,106,24,35/53 (66%),21/39 (54%),54,21,,,
4,7,13,6,7/17 (41%),8,114/184 (62%),P.ANDUJAR,25/31 (81%),65/156 (42%),42,172,47,73/114 (64%),34/70 (49%),49,46,185,172,139
4,6,10,7,6/19 (32%),7,98/156 (63%),D.THIEM,25/38 (66%),77/184 (42%),42,168,61,71/98 (72%),20/58 (34%),34,66,208,179,155
5,5,2,1,5/6 (83%),3,59/92 (64%),S.TSITSIPAS,12/18 (67%),41/90 (46%),46,105,25,44/59 (75%),20/33 (61%),61,31,205,187,150
2,1,1,5,1/3 (33%),7,61/90 (68%),J.CHARDY,20/25 (80%),28/92 (30%),30,77,35,40/61 (66%),9/29 (31%),31,25,212,188,162
9,0,6,5,0/4 (0%),6,59/101 (58%),S.KORDA,7/19 (37%),22/80 (28%),28,77,47,36/59 (61%),19/42 (45%),45,23,,,
3,5,4,0,5/11 (45%),4,55/80 (69%),P.MARTINEZ,11/13 (85%),46/101 (46%),46,104,33,45/55 (82%),13/25 (52%),52,26,,,
5,0,11,4,0/2 (0%),3,76/112 (68%),M.MARTERER,12/22 (55%),24/88 (27%),27,88,33,50/76 (66%),14/36 (39%),39,35,,,
7,4,2,0,4/15 (27%),1,60/88 (68%),F.KRAJINOVIC,18/23 (78%),48/112 (43%),43,112,22,52/60 (87%),12/28 (43%),43,48,,,
9,0,1,2,0/2 (0%),3,49/85 (58%),S.QUERREY,6/12 (50%),21/91 (23%),23,78,25,39/49 (80%),18/36 (50%),50,29,210,196,163
22,2,2,0,2/3 (67%),2,64/91 (70%),J.ISNER,7/11 (64%),28/85 (33%),33,98,24,53/64 (83%),17/27 (63%),63,39,220,200,161
3,1,10,5,1/7 (14%),5,59/100 (59%),F.CERUNDOLO,5/6 (83%),32/94 (34%),34,89,48,42/59 (71%),15/41 (37%),37,29,,,
3,5,6,1,5/15 (33%),3,67/94 (71%),T.MONTEIRO,5/11 (45%),43/100 (43%),43,105,29,50/67 (75%),12/27 (44%),44,18,,,
11,9,7,5,9/15 (60%),7,80/146 (55%),S.JOHNSON,11/18 (61%),58/142 (41%),41,150,41,58/80 (73%),34/66 (52%),52,49,200,180,153
14,5,6,9,5/12 (42%),3,81/142 (57%),F.TIAFOE,19/37 (51%),54/146 (37%),37,138,47,55/81 (68%),29/61 (48%),48,46,213,186,145
2,2,6,4,2/10 (20%),3,59/90 (66%),E.GERASIMOV,24/47 (51%),40/112 (36%),36,92,41,38/59 (64%),14/31 (45%),45,37,,,
6,4,8,2,4/10 (40%),4,59/112 (53%),E.COUACAUD,6/12 (50%),38/90 (42%),42,110,22,45/59 (76%),27/53 (51%),51,38,,,
10,0,4,4,0/1 (0%),5,55/84 (65%),N.GOMBOS,2/6 (33%),19/76 (25%),25,69,33,40/55 (73%),10/29 (34%),34,18,203,183,149
7,4,1,0,4/8 (50%),1,45/76 (59%),P.CARRENO BUSTA,6/6 (100%),34/84 (40%),40,91,20,37/45 (82%),20/31 (65%),65,30,199,177,132
1,6,4,5,6/15 (40%),5,59/97 (61%),G.DIMITROV,10/13 (77%),53/118 (45%),45,109,49,40/59 (68%),16/38 (42%),42,36,210,177,138
4,5,9,6,5/9 (56%),1,73/118 (62%),M.GIRON,16/27 (59%),41/97 (42%),42,106,39,43/73 (59%),22/45 (49%),49,28,206,180,135
0,8,3,5,8/21 (38%),7,61/97 (63%),G.PELLA,12/15 (80%),61/125 (49%),49,120,42,43/61 (70%),16/36 (44%),44,36,193,176,149
6,5,13,8,5/8 (63%),4,67/125 (54%),DE.GALAN,12/18 (67%),38/97 (39%),39,102,47,37/67 (55%),27/58 (47%),47,32,196,179,136
2,4,1,7,4/21 (19%),6,79/126 (63%),E.RUUSUVUORI,21/35 (60%),63/154 (41%),41,138,43,50/79 (63%),25/47 (53%),53,44,,,
10,7,17,4,7/8 (88%),4,102/154 (66%),M.MCDONALD,11/20 (55%),51/126 (40%),40,142,42,66/102 (65%),25/52 (48%),48,44,,,
2,6,7,8,6/13 (46%),5,76/121 (63%),JI.LONDERO,15/25 (60%),54/129 (42%),42,121,52,45/76 (59%),22/45 (49%),49,37,,,
7,8,7,6,8/15 (53%),4,82/129 (64%),C.GARIN,13/19 (68%),54/121 (45%),45,129,51,53/82 (65%),22/47 (47%),47,42,,,
10,7,2,3,7/11 (64%),3,53/85 (62%),R.OPELKA,20/29 (69%),43/86 (50%),50,98,42,39/53 (74%),16/32 (50%),50,36,224,197,159
1,3,4,7,3/5 (60%),3,55/86 (64%),A.MARTIN,4/4 (100%),30/85 (35%),35,73,26,32/55 (58%),11/31 (35%),35,14,175,158,127
4,5,8,2,5/23 (22%),3,121/161 (75%),J.MUNAR,21/30 (70%),62/157 (39%),39,164,50,83/121 (69%),19/40 (48%),48,35,,,
7,2,18,5,2/10 (20%),6,84/157 (54%),J.THOMPSON,30/49 (61%),59/161 (37%),37,154,78,59/84 (70%),36/73 (49%),49,55,,,
8,6,14,4,6/8 (75%),8,106/170 (62%),T.PAUL,26/34 (76%),52/152 (34%),34,166,40,81/106 (76%),33/64 (52%),52,47,,,
6,4,2,6,4/18 (22%),0,102/152 (67%),C.O'CONNELL,15/26 (58%),56/170 (33%),33,156,50,72/102 (71%),28/50 (56%),56,41,,,
8,3,8,7,3/9 (33%),8,53/100 (53%),A.BUBLIK,21/39 (54%),31/90 (34%),34,81,45,35/53 (66%),15/47 (32%),32,27,218,194,153
7,7,6,3,7/15 (47%),4,43/90 (48%),D.MEDVEDEV,11/22 (50%),50/100 (50%),50,109,16,34/43 (79%),25/47 (53%),53,28,206,194,154
