Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
4,5,6,0,5/11 (45%),2,49/73 (67%),N.DJOKOVIC,9/16 (56%),44/94 (47%),47,99,21,42/49 (86%),13/24 (54%),54,33,200,186,144
5,0,6,5,0/6 (0%),1,56/94 (60%),T.SANDGREN,11/24 (46%),18/73 (25%),25,68,27,30/56 (54%),20/38 (53%),53,25,202,178,148
6,1,10,6,1/5 (20%),6,34/91 (37%),L.POUILLE,11/13 (85%),21/75 (28%),28,65,44,23/34 (68%),21/57 (37%),37,29,208,186,152
10,6,4,1,6/16 (38%),0,53/75 (71%),P.CUEVAS,6/10 (60%),47/91 (52%),52,101,24,37/53 (70%),17/22 (77%),77,38,196,172,153
7,4,10,5,4/25 (16%),4,79/138 (57%),S.CARUSO,10/19 (53%),62/161 (39%),39,146,51,52/79 (66%),32/59 (54%),54,41,,,
15,5,21,4,5/15 (33%),8,93/161 (58%),J.DUCKWORTH,13/20 (65%),54/138 (39%),39,153,57,73/93 (78%),26/68 (38%),38,49,,,
5,5,15,4,5/16 (31%),6,83/141 (59%),R.BERANKIS,19/23 (83%),52/125 (42%),42,138,51,57/83 (69%),29/58 (50%),50,42,194,179,148
14,4,11,5,4/19 (21%),6,67/125 (54%),U.HUMBERT,6/16 (38%),55/141 (39%),39,128,48,43/67 (64%),30/58 (52%),52,36,205,183,148
11,5,14,2,5/7 (71%),3,58/114 (51%),A.DE MINAUR,9/15 (60%),46/108 (43%),43,118,32,39/58 (67%),33/56 (59%),59,23,199,185,146
9,2,2,5,2/16 (13%),5,65/108 (60%),S.TRAVAGLIA,14/25 (56%),42/114 (37%),37,104,62,40/65 (62%),22/43 (51%),51,40,202,184,146
4,2,9,6,2/2 (100%),3,75/116 (65%),Y.UCHIYAMA,15/32 (47%),23/85 (27%),27,86,36,39/75 (52%),24/41 (59%),59,27,198,170,146
10,6,0,2,6/15 (40%),4,64/85 (75%),M.CECCHINATO,10/15 (67%),53/116 (46%),46,115,32,51/64 (80%),11/21 (52%),52,37,186,162,150
