Aces,Break Points Won,Break Points Saved,Break Points Lost,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed,Break Points Won Raw
2,7,5,0,2,51/74 (69%),N.DJOKOVIC,16/23 (70%),54,102,28,38/51 (75%),57,38,198,182,146,7/11 (64%)
4,0,4,7,2,57/94 (61%),DE.GALAN,9/18 (50%),31,66,25,30/57 (53%),35,18,203,179,141,0/5 (0%)
1,4,8,8,5,72/116 (62%),C.GARIN,17/26 (65%),37,98,51,42/72 (58%),41,34,202,175,147,4/8 (50%)
3,8,4,4,2,59/103 (57%),K.KHACHANOV,15/27 (56%),48,121,34,38/59 (64%),61,32,204,180,145,8/16 (50%)
3,4,10,7,1,85/136 (63%),R.BAUTISTA AGUT,24/42 (57%),36,123,36,44/85 (52%),65,41,188,166,144,4/12 (33%)
11,7,8,4,2,85/129 (66%),P.CARRENO BUSTA,31/48 (65%),43,142,51,57/85 (67%),59,65,201,177,133,7/17 (41%)
4,4,6,1,3,57/95 (60%),D.ALTMAIER,14/24 (58%),37,100,21,42/57 (74%),63,23,201,187,144,4/7 (57%)
5,1,3,4,1,59/92 (64%),M.BERRETTINI,21/32 (66%),31,87,42,41/59 (69%),52,34,218,197,161,1/7 (14%)
3,7,1,2,3,59/90 (66%),M.FUCSOVICS,20/22 (91%),50,107,22,44/59 (75%),52,28,191,174,140,7/12 (58%)
1,2,5,7,1,71/94 (76%),T.MONTEIRO,13/25 (52%),33,77,37,40/71 (56%),30,23,206,180,132,2/3 (67%)
13,0,8,5,7,43/75 (57%),K.ANDERSON,5/6 (83%),19,56,33,31/43 (72%),41,22,208,192,168,0/0 (0%)
6,5,0,0,1,37/64 (58%),A.RUBLEV,6/8 (75%),41,83,16,33/37 (89%),70,27,209,190,138,5/13 (38%)
0,0,6,4,3,39/61 (64%),R.CARBALLES BAENA,8/12 (67%),20,38,25,24/39 (62%),27,7,187,172,142,0/0 (0%)
6,4,0,0,3,24/40 (60%),G.DIMITROV,5/9 (56%),51,63,15,20/24 (83%),75,22,208,170,135,4/10 (40%)
1,0,4,5,4,25/64 (39%),A.BEDENE,4/7 (57%),22,41,30,15/25 (60%),36,13,192,182,148,0/2 (0%)
10,5,2,0,0,36/54 (67%),S.TSITSIPAS,7/9 (78%),55,77,11,29/36 (81%),72,28,205,191,157,5/9 (56%)
4,1,4,0,0,89/135 (66%),L.SONEGO,16/19 (84%),29,129,42,69/89 (78%),57,50,206,190,149,1/6 (17%)
9,0,5,1,1,64/119 (54%),T.FRITZ,16/28 (57%),30,125,36,48/64 (75%),67,34,223,198,139,0/4 (0%)
4,4,10,7,7,64/108 (59%),N.GOMBOS,14/22 (64%),42,102,65,35/64 (55%),45,32,201,190,148,4/15 (27%)
1,7,11,4,4,75/112 (67%),D.SCHWARTZMAN,3/6 (50%),49,118,34,47/75 (63%),49,17,187,162,126,7/17 (41%)
7,5,13,8,2,84/147 (57%),S.WAWRINKA,34/65 (52%),42,146,74,50/84 (60%),51,49,208,183,152,5/17 (29%)
2,8,12,5,3,79/152 (52%),H.GASTON,23/35 (66%),44,153,41,50/79 (63%),52,35,187,167,134,8/21 (38%)
1,1,9,6,0,55/80 (69%),C.RUUD,17/24 (71%),35,75,37,28/55 (51%),56,21,198,179,145,1/8 (13%)
5,6,7,1,2,57/95 (60%),D.THIEM,11/18 (61%),48,100,28,38/57 (67%),63,32,214,175,155,6/15 (40%)
10,6,1,1,5,47/75 (63%),A.ZVEREV,15/26 (58%),48,102,22,40/47 (85%),50,31,221,200,157,6/13 (46%)
2,1,7,6,3,66/100 (66%),M.CECCHINATO,15/24 (63%),28,73,41,38/66 (58%),41,23,195,178,153,1/2 (50%)
2,4,5,7,0,79/111 (71%),F.CORIA,12/14 (86%),40,97,31,41/79 (52%),50,20,189,151,109,4/9 (44%)
0,7,5,4,2,67/100 (67%),J.SINNER,26/38 (68%),49,114,48,43/67 (64%),52,44,195,162,136,7/12 (58%)
0,1,10,6,8,59/95 (62%),P.MARTINEZ,11/15 (73%),30,73,25,37/59 (63%),33,20,184,163,140,1/6 (17%)
8,6,5,1,0,58/81 (72%),S.KORDA,12/18 (67%),48,103,29,45/58 (78%),52,48,194,170,144,6/16 (38%)
1,0,1,6,1,42/59 (71%),S.TRAVAGLIA,5/7 (71%),21,41,24,23/42 (55%),29,13,203,181,143,0/0 (0%)
2,6,0,0,0,45/62 (73%),R.NADAL,19/23 (83%),53,80,13,35/45 (78%),82,28,193,179,151,6/7 (86%)
