Aces,Break Points Won,Break Points Saved,Break Points Lost,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed,Break Points Won Raw
1,1,11,7,4,66/99 (67%),N.DJOKOVIC,18/27 (67%),33,77,52,33/66 (50%),48,38,195,185,146,1/5 (20%)
4,7,4,1,1,55/84 (65%),R.NADAL,9/17 (53%),51,106,14,37/55 (67%),66,31,195,181,148,7/18 (39%)
