Aces,Break Points Won,Break Points Saved,Break Points Lost,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed,Break Points Won Raw
5,8,11,4,6,102/153 (67%),N.DJOKOVIC,30/40 (75%),44,172,50,74/102 (73%),47,56,202,186,144,8/22 (36%)
7,4,14,8,5,113/168 (67%),S.TSITSIPAS,24/41 (59%),36,149,56,67/113 (59%),49,52,205,185,154,4/15 (27%)
2,3,3,6,3,50/84 (60%),D.SCHWARTZMAN,15/23 (65%),37,87,48,31/50 (62%),38,24,180,158,134,3/12 (25%)
3,6,9,3,0,81/117 (69%),R.NADAL,17/24 (71%),48,114,34,55/81 (68%),53,38,195,183,142,6/9 (67%)
