Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
2,6,10,3,6/13 (46%),5,74/131 (56%),N.DJOKOVIC,26/36 (72%),42,130,41,53/74 (72%),53,53,198,182,150
3,3,7,6,3/13 (23%),3,78/112 (70%),P.CARRENO BUSTA,19/30 (63%),37,113,29,50/78 (64%),44,42,198,169,134
7,1,3,5,1/3 (33%),0,58/90 (64%),A.RUBLEV,6/17 (35%),27,73,23,38/58 (66%),38,25,212,191,137
7,5,2,1,5/8 (63%),2,54/85 (64%),S.TSITSIPAS,16/17 (94%),44,102,17,43/54 (80%),61,35,205,186,145
1,10,13,9,10/16 (63%),5,124/189 (66%),D.SCHWARTZMAN,44/71 (62%),46,197,62,77/124 (62%),52,47,180,158,134
7,9,6,10,9/22 (41%),3,111/187 (59%),D.THIEM,35/53 (66%),41,179,81,69/111 (62%),42,65,213,181,151
2,2,2,6,2/7 (29%),3,63/93 (68%),J.SINNER,15/28 (54%),36,84,44,36/63 (57%),43,31,201,175,144
0,6,5,2,6/8 (75%),1,63/97 (65%),R.NADAL,19/28 (68%),47,106,33,42/63 (67%),59,37,189,177,145
