Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
4,5,2,1,5/12 (42%),1,61/77 (79%),T.MONTEIRO,18/24 (75%),41/102 (40%),40,103,31,51/61 (84%),11/16 (69%),69,34,,,
1,4,9,6,4/13 (31%),5,99/143 (69%),D.LAJOVIC,8/17 (47%),46/137 (34%),34,134,37,63/99 (64%),25/44 (57%),57,36,189,170,137
18,6,9,4,6/15 (40%),5,98/137 (72%),K.ANDERSON,24/45 (53%),55/143 (38%),38,146,39,67/98 (68%),24/39 (62%),62,58,212,195,165
3,3,7,7,3/6 (50%),1,71/108 (66%),A.DAVIDOVICH FOKINA,13/18 (72%),32/102 (31%),31,89,42,40/71 (56%),17/37 (46%),46,34,198,164,144
12,7,3,3,7/14 (50%),1,65/102 (64%),A.RUBLEV,24/35 (69%),51/108 (47%),47,121,33,50/65 (77%),20/37 (54%),54,39,215,181,130
7,6,13,8,6/21 (29%),12,121/194 (62%),D.SHAPOVALOV,73/103 (71%),77/196 (39%),39,194,106,80/121 (66%),37/73 (51%),51,65,202,180,148
3,8,15,6,8/21 (38%),8,127/196 (65%),R.CARBALLES BAENA,18/29 (62%),77/194 (40%),40,196,42,78/127 (61%),41/69 (59%),59,31,197,168,143
0,2,7,5,2/8 (25%),1,62/94 (66%),A.MARTIN,25/35 (71%),34/103 (33%),33,87,46,35/62 (56%),18/32 (56%),56,19,185,159,126
4,5,6,2,5/12 (42%),2,73/103 (71%),G.DIMITROV,18/22 (82%),41/94 (44%),44,110,37,50/73 (68%),19/30 (63%),63,29,206,177,133
5,4,3,5,4/9 (44%),4,64/106 (60%),N.MILOJEVIC,6/17 (35%),52/144 (36%),36,120,44,48/64 (75%),20/42 (48%),48,32,,,
16,5,5,4,5/8 (63%),4,89/144 (62%),A.BEDENE,12/20 (60%),38/106 (36%),36,130,45,67/89 (75%),25/55 (45%),45,38,,,
3,1,7,6,1/1 (100%),1,45/78 (58%),P.CUEVAS,5/12 (42%),12/60 (20%),20,51,32,25/45 (56%),14/33 (42%),42,18,198,179,144
5,6,0,1,6/13 (46%),1,33/60 (55%),S.TSITSIPAS,15/22 (68%),39/78 (50%),50,87,18,29/33 (88%),19/27 (70%),70,26,201,185,152
2,1,10,5,1/3 (33%),7,75/121 (62%),A.BUBLIK,30/48 (63%),28/98 (29%),29,98,30,47/75 (63%),23/46 (50%),50,38,,,
4,5,2,1,5/15 (33%),1,75/98 (77%),L.SONEGO,36/56 (64%),51/121 (42%),42,121,18,61/75 (81%),9/23 (39%),39,52,,,
0,1,5,5,1/14 (7%),3,53/77 (69%),R.ALBOT,10/12 (83%),35/102 (34%),34,79,26,34/53 (64%),10/24 (42%),42,21,225,169,143
16,5,13,1,5/10 (50%),2,61/102 (60%),T.FRITZ,10/17 (59%),33/77 (43%),43,100,28,52/61 (85%),15/41 (37%),37,41,221,202,138
6,6,5,5,6/15 (40%),5,74/114 (65%),N.GOMBOS,21/33 (64%),57/134 (43%),43,132,44,52/74 (70%),23/40 (57%),57,36,,,
10,5,9,6,5/10 (50%),2,87/134 (65%),J.RODIONOV,15/28 (54%),39/114 (34%),34,116,40,57/87 (66%),20/47 (43%),43,33,,,
5,3,4,10,3/10 (30%),5,46/78 (59%),L.GIUSTINO,9/17 (53%),31/79 (39%),39,63,46,21/46 (46%),11/32 (34%),34,15,204,173,132
1,10,7,3,10/14 (71%),2,49/79 (62%),D.SCHWARTZMAN,6/11 (55%),46/78 (59%),59,94,33,31/49 (63%),17/30 (57%),57,19,183,160,134
6,5,5,1,5/13 (38%),1,69/111 (62%),S.WAWRINKA,13/21 (62%),44/102 (43%),43,119,52,51/69 (74%),24/42 (57%),57,51,209,177,147
1,1,8,5,1/6 (17%),2,65/102 (64%),D.KOEPFER,11/16 (69%),36/111 (32%),32,94,33,41/65 (63%),17/37 (46%),46,17,202,175,143
2,6,17,5,6/12 (50%),1,87/147 (59%),H.GASTON,19/34 (56%),56/129 (43%),43,142,36,48/87 (55%),38/60 (63%),63,43,,,
3,5,6,6,5/22 (23%),0,94/129 (73%),Y.NISHIOKA,33/64 (52%),61/147 (41%),41,134,48,54/94 (57%),19/35 (54%),54,59,,,
3,4,5,4,4/10 (40%),3,76/119 (64%),C.RUUD,9/16 (56%),44/119 (37%),37,123,24,54/76 (71%),25/43 (58%),58,29,200,173,149
8,4,6,4,4/9 (44%),2,74/119 (62%),T.PAUL,16/21 (76%),40/119 (34%),34,115,45,52/74 (70%),23/45 (51%),51,68,212,169,144
2,2,2,6,2/3 (67%),3,62/99 (63%),J.SOCK,20/29 (69%),32/96 (33%),33,87,54,39/62 (63%),16/37 (43%),43,24,211,176,156
8,6,1,2,6/8 (75%),1,67/96 (70%),D.THIEM,14/24 (58%),44/99 (44%),44,108,24,45/67 (67%),19/29 (66%),66,28,207,169,149
10,6,7,7,6/14 (43%),11,112/165 (68%),A.ZVEREV,28/55 (51%),63/163 (39%),39,164,56,79/112 (71%),22/53 (42%),42,45,219,200,155
3,7,8,6,7/14 (50%),6,99/163 (61%),PH.HERBERT,61/93 (66%),64/165 (39%),39,164,49,65/99 (66%),35/64 (55%),55,41,206,181,143
4,3,8,7,3/7 (43%),1,76/116 (66%),JI.LONDERO,25/39 (64%),36/111 (32%),32,103,42,43/76 (57%),24/40 (60%),60,37,,,
8,7,4,3,7/15 (47%),2,72/111 (65%),M.CECCHINATO,13/21 (62%),49/116 (42%),42,124,34,54/72 (75%),21/39 (54%),54,54,,,
8,5,0,8,5/15 (33%),11,59/116 (51%),B.PAIRE,34/45 (76%),53/134 (40%),40,116,79,44/59 (75%),19/57 (33%),33,67,206,182,144
4,8,10,5,8/8 (100%),6,102/134 (76%),F.CORIA,12/25 (48%),53/116 (46%),46,134,18,68/102 (67%),13/32 (41%),41,18,194,166,142
0,2,7,6,2/5 (40%),2,48/85 (56%),B.BONZI,15/22 (68%),33/93 (35%),35,78,42,28/48 (58%),17/37 (46%),46,20,206,172,148
3,6,3,2,6/13 (46%),2,63/93 (68%),J.SINNER,7/16 (44%),40/85 (47%),47,100,28,41/63 (65%),19/30 (63%),63,28,200,178,137
1,2,8,9,2/5 (40%),0,50/83 (60%),M.KUKUSHKIN,19/31 (61%),15/58 (26%),26,47,17,22/50 (44%),10/33 (30%),30,20,,,
5,9,3,2,9/17 (53%),2,45/58 (78%),P.MARTINEZ,13/18 (72%),51/83 (61%),61,94,7,36/45 (80%),7/13 (54%),54,31,,,
7,5,6,4,5/12 (42%),6,69/104 (66%),S.KORDA,7/11 (64%),44/114 (39%),39,114,28,50/69 (72%),20/35 (57%),57,46,211,172,137
13,4,7,5,4/10 (40%),8,72/114 (63%),J.ISNER,17/29 (59%),34/104 (33%),33,104,34,52/72 (72%),18/42 (43%),43,31,213,190,165
1,7,7,7,7/16 (44%),2,101/150 (67%),K.NISHIKORI,29/39 (74%),66/164 (40%),40,158,51,62/101 (61%),30/49 (61%),61,38,186,159,133
4,7,9,7,7/14 (50%),6,98/164 (60%),S.TRAVAGLIA,11/21 (52%),58/150 (39%),39,156,50,68/98 (69%),30/66 (45%),45,35,203,166,135
1,0,1,7,0/0 (0%),2,40/60 (67%),M.MCDONALD,8/14 (57%),21/72 (29%),29,47,28,18/40 (45%),8/20 (40%),40,17,192,171,137
1,7,0,0,7/8 (88%),4,49/72 (68%),R.NADAL,13/16 (81%),34/60 (57%),57,85,15,37/49 (76%),14/23 (61%),61,31,193,182,153
