Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
2,9,0,2,9/11 (82%),2,35/58 (60%),N.DJOKOVIC,12/20 (60%),44/72 (61%),61,84,22,26/35 (74%),14/23 (61%),61,32,199,186,151
2,2,2,9,2/2 (100%),5,48/72 (67%),M.YMER,10/17 (59%),18/58 (31%),31,46,27,20/48 (42%),8/24 (33%),33,12,195,176,148
2,0,7,4,0/6 (0%),0,73/93 (78%),H.DELLIEN,8/14 (57%),34/102 (33%),33,86,17,44/73 (60%),8/20 (40%),40,16,,,
3,4,6,0,4/11 (36%),1,56/102 (55%),R.BERANKIS,34/48 (71%),41/93 (44%),44,109,27,46/56 (82%),22/46 (48%),48,56,,,
6,11,12,7,11/22 (50%),0,111/169 (66%),DE.GALAN,20/29 (69%),73/148 (49%),49,169,55,70/111 (63%),26/58 (45%),45,55,,,
2,7,11,11,7/19 (37%),6,99/148 (67%),C.NORRIE,27/41 (66%),73/169 (43%),43,148,69,54/99 (55%),21/49 (43%),43,40,,,
14,6,7,7,6/18 (33%),7,112/186 (60%),T.SANDGREN,42/68 (62%),75/200 (38%),38,190,51,74/112 (66%),41/74 (55%),55,62,202,179,147
10,7,12,6,7/14 (50%),8,123/200 (62%),H.HURKACZ,31/44 (70%),71/186 (38%),38,196,77,86/123 (70%),39/77 (51%),51,66,207,178,136
7,5,2,2,5/16 (31%),4,73/119 (61%),C.GARIN,21/31 (68%),52/132 (39%),39,131,47,53/73 (73%),26/46 (57%),57,45,,,
1,2,11,5,2/4 (50%),3,70/132 (53%),P.KOHLSCHREIBER,19/31 (61%),40/119 (34%),34,120,25,43/70 (61%),37/62 (60%),60,27,,,
8,1,6,5,1/11 (9%),5,76/115 (66%),U.HUMBERT,12/35 (34%),39/118 (33%),33,107,45,55/76 (72%),13/39 (33%),33,46,198,177,142
3,5,10,1,5/11 (45%),1,86/118 (73%),M.POLMANS,26/32 (81%),47/115 (41%),41,126,31,61/86 (71%),18/32 (56%),56,39,195,180,150
14,6,1,2,6/15 (40%),1,76/102 (75%),J.VESELY,15/19 (79%),58/132 (44%),44,132,23,58/76 (76%),16/26 (62%),62,36,,,
3,2,9,6,2/3 (67%),1,82/132 (62%),L.BROADY,12/17 (71%),28/102 (27%),27,102,46,55/82 (67%),19/50 (38%),38,37,,,
8,2,6,5,2/8 (25%),2,56/93 (60%),K.MAJCHRZAK,15/24 (63%),28/90 (31%),31,82,40,36/56 (64%),18/37 (49%),49,38,205,180,147
6,5,6,2,5/11 (45%),2,65/90 (72%),K.KHACHANOV,8/17 (47%),39/93 (42%),42,101,22,51/65 (78%),11/25 (44%),44,32,197,181,154
6,8,4,3,8/17 (47%),0,52/79 (66%),R.BAUTISTA AGUT,11/14 (79%),54/108 (50%),50,104,19,35/52 (67%),15/27 (56%),56,32,190,174,132
1,3,9,8,3/7 (43%),4,64/108 (59%),R.GASQUET,20/29 (69%),29/79 (37%),37,83,49,38/64 (59%),16/44 (36%),36,45,202,163,136
6,1,8,5,1/3 (33%),3,63/102 (62%),Y.UCHIYAMA,17/32 (53%),24/83 (29%),29,79,33,41/63 (65%),14/39 (36%),36,36,202,184,150
3,5,2,1,5/13 (38%),3,50/83 (60%),A.BALAZS,9/12 (75%),47/102 (46%),46,106,23,39/50 (78%),20/33 (61%),61,30,196,168,148
9,7,6,5,7/11 (64%),3,106/158 (67%),G.PELLA,12/17 (71%),63/156 (40%),40,164,67,75/106 (71%),26/52 (50%),50,36,,,
5,5,4,7,5/11 (45%),3,99/156 (63%),S.CARUSO,21/32 (66%),57/158 (36%),36,150,56,62/99 (63%),31/57 (54%),54,41,,,
1,3,14,8,3/7 (43%),2,62/109 (57%),J.MILLMAN,15/23 (65%),29/80 (36%),36,81,33,37/62 (60%),15/47 (32%),32,24,193,174,137
4,8,4,3,8/22 (36%),0,55/80 (69%),P.CARRENO BUSTA,12/22 (55%),57/109 (52%),52,108,28,37/55 (67%),14/25 (56%),56,34,197,172,117
23,6,7,3,6/15 (40%),4,94/161 (58%),JL.STRUFF,35/61 (57%),79/197 (40%),40,184,61,67/94 (71%),38/67 (57%),57,69,,,
10,3,9,6,3/10 (30%),4,111/197 (56%),F.TIAFOE,19/32 (59%),56/161 (35%),35,174,52,75/111 (68%),43/86 (50%),50,51,,,
10,5,9,3,5/15 (33%),1,63/107 (59%),D.ALTMAIER,16/23 (70%),56/124 (45%),45,126,29,45/63 (71%),25/44 (57%),57,41,,,
11,3,10,5,3/12 (25%),3,70/124 (56%),F.LOPEZ,25/43 (58%),37/107 (35%),35,105,40,40/70 (57%),28/54 (52%),52,37,,,
17,2,0,0,2/8 (25%),1,68/95 (72%),L.HARRIS,8/16 (50%),33/101 (33%),33,106,16,56/68 (82%),17/27 (63%),63,45,,,
7,0,6,2,0/0 (0%),7,67/101 (66%),A.POPYRIN,20/25 (80%),22/95 (23%),23,90,36,51/67 (76%),17/34 (50%),50,33,,,
3,0,14,6,0/1 (0%),5,52/99 (53%),V.POSPISIL,15/29 (52%),15/64 (23%),23,66,45,31/52 (60%),20/47 (43%),43,17,207,184,165
4,6,1,0,6/20 (30%),2,37/64 (58%),M.BERRETTINI,7/14 (50%),48/99 (48%),48,97,18,29/37 (78%),20/27 (74%),74,22,215,169,152
3,5,7,6,5/9 (56%),4,69/115 (60%),D.MEDVEDEV,21/36 (58%),52/131 (40%),40,118,51,44/69 (64%),22/46 (48%),48,27,204,184,135
2,6,4,5,6/13 (46%),6,72/131 (55%),M.FUCSOVICS,31/44 (70%),49/115 (43%),43,128,49,50/72 (69%),29/59 (49%),49,36,196,176,139
2,1,5,7,1/2 (50%),6,50/94 (53%),A.MANNARINO,3/9 (33%),22/72 (31%),31,70,51,32/50 (64%),16/44 (36%),36,21,186,166,132
0,7,1,1,7/12 (58%),2,40/72 (56%),A.RAMOS-VINOLAS,9/9 (100%),46/94 (49%),49,96,26,27/40 (68%),23/32 (72%),72,22,183,165,131
15,7,11,9,7/16 (44%),15,117/194 (60%),Q.HALYS,41/58 (71%),78/201 (39%),39,193,86,79/117 (68%),36/77 (47%),47,87,208,182,142
8,9,9,7,9/20 (45%),1,134/201 (67%),M.GIRON,31/47 (66%),79/194 (41%),41,202,47,87/134 (65%),36/67 (54%),54,54,200,167,134
