Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
6,4,6,0,4/8 (50%),0,60/88 (68%),T.MONTEIRO,3/4 (75%),32/87 (37%),37,99,15,47/60 (78%),20/28 (71%),71,28,,,
0,0,4,4,0/6 (0%),2,47/87 (54%),N.BASILASHVILI,7/11 (64%),21/88 (24%),24,76,38,29/47 (62%),26/40 (65%),65,24,,,
6,6,3,4,6/21 (29%),1,87/120 (73%),D.LAJOVIC,14/24 (58%),61/142 (43%),43,143,35,62/87 (71%),20/33 (61%),61,49,198,168,136
0,4,15,6,4/7 (57%),2,95/142 (67%),G.MAGER,25/33 (76%),38/120 (32%),32,119,48,59/95 (62%),22/47 (47%),47,35,206,169,135
1,2,8,6,2/5 (40%),3,63/90 (70%),L.DJERE,5/6 (83%),25/81 (31%),31,71,30,38/63 (60%),8/27 (30%),30,21,,,
11,6,3,2,6/14 (43%),1,56/81 (69%),K.ANDERSON,18/27 (67%),44/90 (49%),49,100,19,42/56 (75%),14/25 (56%),56,30,,,
4,3,4,5,3/10 (30%),1,59/122 (48%),H.MAYOT,23/39 (59%),39/109 (36%),36,108,33,34/59 (58%),35/63 (56%),56,29,191,176,131
2,5,7,3,5/9 (56%),2,67/109 (61%),A.DAVIDOVICH FOKINA,16/23 (70%),53/122 (43%),43,123,40,46/67 (69%),24/42 (57%),57,40,199,165,135
29,4,7,8,4/9 (44%),11,105/175 (60%),S.QUERREY,27/48 (56%),47/158 (30%),30,158,62,79/105 (75%),32/70 (46%),46,80,218,193,160
23,8,5,4,8/15 (53%),2,92/158 (58%),A.RUBLEV,7/14 (50%),64/175 (37%),37,175,20,71/92 (77%),40/66 (61%),61,64,208,185,137
6,11,6,7,11/24 (46%),7,82/119 (69%),D.SHAPOVALOV,34/48 (71%),79/158 (50%),50,146,65,49/82 (60%),18/37 (49%),49,55,203,183,145
5,7,13,11,7/13 (54%),12,83/158 (53%),G.SIMON,9/19 (47%),52/119 (44%),44,131,46,48/83 (58%),31/75 (41%),41,26,193,169,134
1,0,4,8,0/3 (0%),1,34/64 (53%),S.JOHNSON,4/10 (40%),11/52 (21%),21,36,44,17/34 (50%),8/30 (27%),27,12,,,
1,8,3,0,8/12 (67%),0,42/52 (81%),R.CARBALLES BAENA,8/9 (89%),39/64 (61%),61,80,9,32/42 (76%),9/10 (90%),90,16,,,
2,7,3,2,7/10 (70%),3,51/79 (65%),A.MARTIN,11/14 (79%),39/73 (53%),53,94,23,35/51 (69%),20/28 (71%),71,26,,,
2,2,3,7,2/5 (40%),4,49/73 (67%),J.SOUSA,10/18 (56%),24/79 (30%),30,58,32,26/49 (53%),8/24 (33%),33,14,,,
1,2,17,7,2/8 (25%),5,56/94 (60%),G.BARRERE,9/19 (47%),38/95 (40%),40,82,43,31/56 (55%),13/38 (34%),34,22,193,181,138
3,7,6,2,7/24 (29%),8,49/95 (52%),G.DIMITROV,13/18 (72%),50/94 (53%),53,107,41,33/49 (67%),24/46 (52%),52,24,202,176,143
1,4,16,8,4/11 (36%),5,109/158 (69%),F.KRAJINOVIC,13/20 (65%),42/106 (40%),40,124,60,62/109 (57%),20/49 (41%),41,15,189,172,130
1,8,7,4,8/24 (33%),7,61/106 (58%),N.MILOJEVIC,11/16 (69%),76/158 (48%),48,140,62,40/61 (66%),24/45 (53%),53,46,195,180,148
10,4,9,0,4/14 (29%),3,66/126 (52%),A.BEDENE,13/27 (48%),59/149 (40%),40,148,29,53/66 (80%),36/60 (60%),60,46,,,
12,0,10,4,0/9 (0%),2,97/149 (65%),A.RINDERKNECH,33/46 (72%),37/126 (29%),29,127,53,66/97 (68%),24/52 (46%),46,47,,,
4,3,12,6,3/9 (33%),0,62/110 (56%),H.LAAKSONEN,7/12 (58%),30/94 (32%),32,88,59,38/62 (61%),20/48 (42%),42,36,195,177,132
8,6,6,3,6/18 (33%),3,59/94 (63%),P.CUEVAS,4/8 (50%),52/110 (47%),47,116,22,47/59 (80%),17/35 (49%),49,23,196,169,143
3,5,8,6,5/7 (71%),0,89/126 (71%),J.MUNAR,21/30 (70%),48/134 (36%),36,129,21,65/89 (73%),16/37 (43%),43,38,206,172,128
6,6,2,5,6/14 (43%),6,96/134 (72%),S.TSITSIPAS,43/75 (57%),45/126 (36%),36,131,49,70/96 (73%),16/38 (42%),42,54,208,184,141
5,6,17,8,6/15 (40%),12,107/156 (69%),G.MONFILS,27/45 (60%),46/115 (40%),40,130,58,68/107 (64%),16/49 (33%),33,41,205,175,156
6,8,9,6,8/25 (32%),6,60/115 (52%),A.BUBLIK,25/43 (58%),72/156 (46%),46,141,48,47/60 (78%),22/55 (40%),40,47,215,193,134
0,4,8,9,4/12 (33%),4,108/160 (68%),E.GOMEZ,31/49 (63%),57/162 (35%),35,147,47,67/108 (62%),23/52 (44%),44,44,,,
5,9,8,4,9/17 (53%),4,105/162 (65%),L.SONEGO,21/28 (75%),70/160 (44%),44,175,34,75/105 (71%),30/57 (53%),53,61,,,
7,1,11,7,1/3 (33%),2,63/105 (60%),J.THOMPSON,5/9 (56%),22/70 (31%),31,73,44,35/63 (56%),16/42 (38%),38,24,,,
1,7,2,1,7/18 (39%),2,42/70 (60%),R.ALBOT,22/30 (73%),54/105 (51%),51,102,21,32/42 (76%),16/28 (57%),57,24,,,
2,9,20,7,9/14 (64%),4,131/195 (67%),T.MACHAC,33/40 (83%),63/149 (42%),42,173,65,77/131 (59%),33/64 (52%),52,71,,,
14,7,5,9,7/27 (26%),4,88/149 (59%),T.FRITZ,19/35 (54%),85/195 (44%),44,171,46,63/88 (72%),23/61 (38%),38,62,,,
5,2,9,4,2/10 (20%),3,85/136 (63%),B.CORIC,19/25 (76%),33/110 (30%),30,114,46,60/85 (71%),21/51 (41%),41,25,200,175,155
3,4,8,2,4/13 (31%),5,63/110 (57%),N.GOMBOS,17/24 (71%),55/136 (40%),40,132,28,50/63 (79%),27/47 (57%),57,24,201,186,145
13,9,14,9,9/16 (56%),4,139/201 (69%),J.RODIONOV,38/55 (69%),84/195 (43%),43,201,58,90/139 (65%),27/62 (44%),44,53,207,174,134
6,9,7,9,9/23 (39%),9,116/195 (59%),J.CHARDY,40/58 (69%),84/201 (42%),42,195,89,77/116 (66%),34/79 (43%),43,55,204,186,149
4,13,5,9,13/25 (52%),1,154/215 (72%),C.MOUTET,26/39 (67%),106/244 (43%),43,242,88,104/154 (68%),32/61 (52%),52,88,193,154,122
3,9,12,13,9/14 (64%),7,158/244 (65%),L.GIUSTINO,31/70 (44%),79/215 (37%),37,217,96,99/158 (63%),39/86 (45%),45,57,209,175,131
1,2,5,9,2/8 (25%),4,43/70 (61%),M.KECMANOVIC,6/20 (30%),34/85 (40%),40,61,35,19/43 (44%),8/27 (30%),30,20,196,175,139
3,9,6,2,9/14 (64%),3,53/85 (62%),D.SCHWARTZMAN,12/15 (80%),43/70 (61%),61,94,28,36/53 (68%),15/32 (47%),47,32,179,164,129
9,6,3,0,6/8 (75%),1,30/65 (46%),S.WAWRINKA,11/16 (69%),38/76 (50%),50,87,27,26/30 (87%),23/35 (66%),66,42,214,185,158
2,0,2,6,0/3 (0%),3,27/76 (36%),A.MURRAY,7/12 (58%),16/65 (25%),25,54,26,17/27 (63%),21/49 (43%),43,10,199,184,140
2,8,2,2,8/11 (73%),3,72/90 (80%),D.KOEPFER,9/15 (60%),49/94 (52%),52,109,18,50/72 (69%),10/18 (56%),56,19,191,156,150
1,2,3,8,2/4 (50%),8,64/94 (68%),A.HOANG,14/26 (54%),30/90 (33%),33,75,55,35/64 (55%),10/30 (33%),33,31,190,174,132
1,5,5,3,5/9 (56%),4,65/113 (58%),H.GASTON,7/13 (54%),50/115 (43%),43,120,29,44/65 (68%),26/48 (54%),54,16,186,164,117
2,3,4,5,3/8 (38%),2,73/115 (63%),M.JANVIER,25/47 (53%),43/113 (38%),38,108,55,42/73 (58%),23/42 (55%),55,34,196,169,146
1,6,11,2,6/13 (46%),1,72/103 (70%),Y.NISHIOKA,14/17 (82%),44/95 (46%),46,108,34,45/72 (63%),19/31 (61%),61,23,179,159,127
5,2,7,6,2/13 (15%),6,52/95 (55%),F.AUGER-ALIASSIME,17/28 (61%),39/103 (38%),38,90,58,30/52 (58%),21/43 (49%),49,30,192,181,154
2,7,2,1,7/16 (44%),1,44/65 (68%),C.RUUD,8/11 (73%),46/82 (56%),56,94,15,30/44 (68%),18/21 (86%),86,35,196,178,140
3,1,9,7,1/3 (33%),5,51/82 (62%),Y.SUGITA,9/20 (45%),17/65 (26%),26,53,29,29/51 (57%),7/31 (23%),23,21,181,170,140
5,7,2,1,7/14 (50%),1,38/73 (52%),T.PAUL,9/19 (47%),46/94 (49%),49,97,14,29/38 (76%),22/35 (63%),63,27,,,
1,1,7,7,1/3 (33%),1,41/94 (44%),J.DUCKWORTH,10/21 (48%),22/73 (30%),30,70,41,26/41 (63%),22/53 (42%),42,20,,,
16,1,10,5,1/4 (25%),4,71/109 (65%),R.OPELKA,25/49 (51%),20/78 (26%),26,81,33,46/71 (65%),15/38 (39%),39,39,,,
3,5,3,1,5/15 (33%),4,49/78 (63%),J.SOCK,12/15 (80%),48/109 (44%),44,106,19,39/49 (80%),19/29 (66%),66,28,,,
1,2,7,6,2/7 (29%),2,49/88 (56%),M.CILIC,17/32 (53%),25/78 (32%),32,73,43,31/49 (63%),17/39 (44%),44,24,204,184,138
3,6,5,2,6/13 (46%),1,53/78 (68%),D.THIEM,5/10 (50%),40/88 (45%),45,93,21,37/53 (70%),16/25 (64%),64,17,215,172,153
10,5,1,1,5/11 (45%),2,58/80 (73%),A.ZVEREV,14/23 (61%),48/108 (44%),44,109,32,48/58 (83%),13/22 (59%),59,37,216,196,162
1,1,6,5,1/2 (50%),1,76/108 (70%),D.NOVAK,21/33 (64%),19/80 (24%),24,79,27,43/76 (57%),17/32 (53%),53,26,193,179,128
2,1,5,6,1/9 (11%),3,52/79 (66%),M.MMOH,14/26 (54%),34/99 (34%),34,76,20,28/52 (54%),14/27 (52%),52,19,198,174,145
13,6,8,1,6/11 (55%),5,58/99 (59%),PH.HERBERT,25/33 (76%),37/79 (47%),47,102,30,42/58 (72%),23/41 (56%),56,51,201,181,149
6,12,11,9,12/30 (40%),9,129/199 (65%),F.DELBONIS,17/27 (63%),105/239 (44%),44,224,87,83/129 (64%),36/70 (51%),51,71,,,
3,9,18,12,9/20 (45%),9,161/239 (67%),JI.LONDERO,20/31 (65%),80/199 (40%),40,214,98,101/161 (63%),33/78 (42%),42,48,,,
2,8,4,4,8/24 (33%),2,91/116 (78%),M.CECCHINATO,20/28 (71%),67/132 (51%),51,136,45,56/91 (62%),13/25 (52%),52,35,194,171,130
0,4,16,8,4/8 (50%),5,79/132 (60%),A.DE MINAUR,21/39 (54%),47/116 (41%),41,112,57,43/79 (54%),22/53 (42%),42,36,191,169,120
12,7,4,4,7/18 (39%),6,54/95 (57%),B.PAIRE,18/33 (55%),50/109 (46%),46,107,57,41/54 (76%),16/41 (39%),39,37,198,178,140
5,4,11,7,4/8 (50%),4,61/109 (56%),S.KWON,7/17 (41%),38/95 (40%),40,97,33,38/61 (62%),21/48 (44%),44,19,193,172,145
1,8,16,7,8/16 (50%),3,106/143 (74%),F.CORIA,29/51 (57%),59/124 (48%),48,136,33,60/106 (57%),17/37 (46%),46,33,,,
0,7,8,8,7/23 (30%),6,89/124 (72%),J.JUNG,28/43 (65%),66/143 (46%),46,131,60,52/89 (58%),13/35 (37%),37,55,,,
3,7,8,4,7/12 (58%),2,74/119 (62%),B.BONZI,23/35 (66%),50/116 (43%),43,121,45,52/74 (70%),19/45 (42%),42,34,199,173,137
2,4,5,7,4/12 (33%),9,82/116 (71%),E.RUUSUVUORI,7/20 (35%),48/119 (40%),40,114,46,53/82 (65%),13/34 (38%),38,30,198,168,141
2,7,4,2,7/11 (64%),2,54/80 (68%),J.SINNER,9/15 (60%),44/87 (51%),51,98,27,42/54 (78%),12/26 (46%),46,23,203,182,150
1,2,4,7,2/6 (33%),4,51/87 (59%),D.GOFFIN,15/24 (63%),26/80 (33%),33,69,43,30/51 (59%),13/36 (36%),36,24,198,174,132
6,4,5,7,4/10 (40%),7,80/129 (62%),F.FOGNINI,14/23 (61%),37/112 (33%),33,108,48,47/80 (59%),24/49 (49%),49,42,193,163,120
4,7,6,4,7/12 (58%),0,87/112 (78%),M.KUKUSHKIN,13/21 (62%),58/129 (45%),45,133,31,59/87 (68%),16/25 (64%),64,42,177,150,134
2,6,10,1,6/14 (43%),6,73/99 (74%),P.MARTINEZ,24/32 (75%),39/85 (46%),46,104,28,50/73 (68%),15/26 (58%),58,27,,,
8,1,8,6,1/11 (9%),2,42/85 (49%),A.VUKIC,13/27 (48%),34/99 (34%),34,80,35,30/42 (71%),16/43 (37%),37,31,,,
2,8,5,4,8/17 (47%),1,88/121 (73%),S.KORDA,11/26 (42%),46/103 (45%),45,120,47,55/88 (63%),19/33 (58%),58,34,187,164,120
2,4,9,8,4/9 (44%),0,70/103 (68%),A.SEPPI,10/14 (71%),47/121 (39%),39,104,36,40/70 (57%),17/33 (52%),52,23,183,158,125
4,0,2,5,0/4 (0%),5,42/78 (54%),E.BENCHETRIT,11/15 (73%),17/73 (23%),23,60,37,23/42 (55%),20/36 (56%),56,28,208,180,134
7,5,4,0,5/7 (71%),1,50/73 (68%),J.ISNER,24/32 (75%),35/78 (45%),45,91,14,39/50 (78%),17/23 (74%),74,28,213,188,159
5,8,12,7,8/18 (44%),5,85/143 (59%),D.EVANS,22/36 (61%),56/130 (43%),43,138,37,58/85 (68%),24/58 (41%),41,37,202,171,142
1,7,10,8,7/19 (37%),2,84/130 (65%),K.NISHIKORI,39/66 (59%),61/143 (43%),43,135,55,51/84 (61%),23/46 (50%),50,41,191,162,121
0,2,6,5,2/7 (29%),6,55/87 (63%),P.ANDUJAR,5/11 (45%),38/104 (37%),37,86,35,39/55 (71%),9/32 (28%),28,14,,,
4,5,5,2,5/11 (45%),3,60/104 (58%),S.TRAVAGLIA,12/17 (71%),39/87 (45%),45,105,39,48/60 (80%),18/44 (41%),41,32,,,
2,4,3,7,4/8 (50%),5,86/126 (68%),S.DIEZ,19/23 (83%),40/113 (35%),35,108,39,57/86 (66%),11/40 (28%),28,33,,,
11,7,4,4,7/10 (70%),2,77/113 (68%),M.MCDONALD,16/27 (59%),58/126 (46%),46,131,33,52/77 (68%),21/36 (58%),58,40,,,
8,1,0,5,1/2 (50%),1,49/77 (64%),E.GERASIMOV,13/22 (59%),17/71 (24%),24,60,28,34/49 (69%),9/28 (32%),32,24,197,186,156
3,5,1,1,5/5 (100%),2,45/71 (63%),R.NADAL,6/11 (55%),34/77 (44%),44,88,20,37/45 (82%),17/26 (65%),65,32,189,178,149
