Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
2,7,5,0,7/11 (64%),2,51/74 (69%),N.DJOKOVIC,16/23 (70%),51/94 (54%),54,102,28,38/51 (75%),13/23 (57%),57,38,198,182,146
4,0,4,7,0/5 (0%),2,57/94 (61%),DE.GALAN,9/18 (50%),23/74 (31%),31,66,25,30/57 (53%),13/37 (35%),35,18,203,179,141
1,4,8,8,4/8 (50%),5,72/116 (62%),C.GARIN,17/26 (65%),38/103 (37%),37,98,51,42/72 (58%),18/44 (41%),41,34,202,175,147
3,8,4,4,8/16 (50%),2,59/103 (57%),K.KHACHANOV,15/27 (56%),56/116 (48%),48,121,34,38/59 (64%),27/44 (61%),61,32,204,180,145
3,4,10,7,4/12 (33%),1,85/136 (63%),R.BAUTISTA AGUT,24/42 (57%),46/129 (36%),36,123,36,44/85 (52%),33/51 (65%),65,41,188,166,144
11,7,8,4,7/17 (41%),2,85/129 (66%),P.CARRENO BUSTA,31/48 (65%),59/136 (43%),43,142,51,57/85 (67%),26/44 (59%),59,65,201,177,133
4,4,6,1,4/7 (57%),3,57/95 (60%),D.ALTMAIER,14/24 (58%),34/92 (37%),37,100,21,42/57 (74%),24/38 (63%),63,23,201,187,144
5,1,3,4,1/7 (14%),1,59/92 (64%),M.BERRETTINI,21/32 (66%),29/95 (31%),31,87,42,41/59 (69%),17/33 (52%),52,34,218,197,161
3,7,1,2,7/12 (58%),3,59/90 (66%),M.FUCSOVICS,20/22 (91%),47/94 (50%),50,107,22,44/59 (75%),16/31 (52%),52,28,191,174,140
1,2,5,7,2/3 (67%),1,71/94 (76%),T.MONTEIRO,13/25 (52%),30/90 (33%),33,77,37,40/71 (56%),7/23 (30%),30,23,206,180,132
13,0,8,5,0/0 (0%),7,43/75 (57%),K.ANDERSON,5/6 (83%),12/64 (19%),19,56,33,31/43 (72%),13/32 (41%),41,22,208,192,168
6,5,0,0,5/13 (38%),1,37/64 (58%),A.RUBLEV,6/8 (75%),31/75 (41%),41,83,16,33/37 (89%),19/27 (70%),70,27,209,190,138
0,0,6,4,0/0 (0%),3,39/61 (64%),R.CARBALLES BAENA,8/12 (67%),8/40 (20%),20,38,25,24/39 (62%),6/22 (27%),27,7,187,172,142
6,4,0,0,4/10 (40%),3,24/40 (60%),G.DIMITROV,5/9 (56%),31/61 (51%),51,63,15,20/24 (83%),12/16 (75%),75,22,208,170,135
1,0,4,5,0/2 (0%),4,25/64 (39%),A.BEDENE,4/7 (57%),12/54 (22%),22,41,30,15/25 (60%),14/39 (36%),36,13,192,182,148
10,5,2,0,5/9 (56%),0,36/54 (67%),S.TSITSIPAS,7/9 (78%),35/64 (55%),55,77,11,29/36 (81%),13/18 (72%),72,28,205,191,157
4,1,4,0,1/6 (17%),0,89/135 (66%),L.SONEGO,16/19 (84%),34/119 (29%),29,129,42,69/89 (78%),26/46 (57%),57,50,206,190,149
9,0,5,1,0/4 (0%),1,64/119 (54%),T.FRITZ,16/28 (57%),40/135 (30%),30,125,36,48/64 (75%),37/55 (67%),67,34,223,198,139
4,4,10,7,4/15 (27%),7,64/108 (59%),N.GOMBOS,14/22 (64%),47/112 (42%),42,102,65,35/64 (55%),20/44 (45%),45,32,201,190,148
1,7,11,4,7/17 (41%),4,75/112 (67%),D.SCHWARTZMAN,3/6 (50%),53/108 (49%),49,118,34,47/75 (63%),18/37 (49%),49,17,187,162,126
7,5,13,8,5/17 (29%),2,84/147 (57%),S.WAWRINKA,34/65 (52%),64/152 (42%),42,146,74,50/84 (60%),32/63 (51%),51,49,208,183,152
2,8,12,5,8/21 (38%),3,79/152 (52%),H.GASTON,23/35 (66%),65/147 (44%),44,153,41,50/79 (63%),38/73 (52%),52,35,187,167,134
1,1,9,6,1/8 (13%),0,55/80 (69%),C.RUUD,17/24 (71%),33/95 (35%),35,75,37,28/55 (51%),14/25 (56%),56,21,198,179,145
5,6,7,1,6/15 (40%),2,57/95 (60%),D.THIEM,11/18 (61%),38/80 (48%),48,100,28,38/57 (67%),24/38 (63%),63,32,214,175,155
10,6,1,1,6/13 (46%),5,47/75 (63%),A.ZVEREV,15/26 (58%),48/100 (48%),48,102,22,40/47 (85%),14/28 (50%),50,31,221,200,157
2,1,7,6,1/2 (50%),3,66/100 (66%),M.CECCHINATO,15/24 (63%),21/75 (28%),28,73,41,38/66 (58%),14/34 (41%),41,23,195,178,153
2,4,5,7,4/9 (44%),0,79/111 (71%),F.CORIA,12/14 (86%),40/100 (40%),40,97,31,41/79 (52%),16/32 (50%),50,20,189,151,109
0,7,5,4,7/12 (58%),2,67/100 (67%),J.SINNER,26/38 (68%),54/111 (49%),49,114,48,43/67 (64%),17/33 (52%),52,44,195,162,136
0,1,10,6,1/6 (17%),8,59/95 (62%),P.MARTINEZ,11/15 (73%),24/81 (30%),30,73,25,37/59 (63%),12/36 (33%),33,20,184,163,140
8,6,5,1,6/16 (38%),0,58/81 (72%),S.KORDA,12/18 (67%),46/95 (48%),48,103,29,45/58 (78%),12/23 (52%),52,48,194,170,144
1,0,1,6,0/0 (0%),1,42/59 (71%),S.TRAVAGLIA,5/7 (71%),13/62 (21%),21,41,24,23/42 (55%),5/17 (29%),29,13,203,181,143
2,6,0,0,6/7 (86%),0,45/62 (73%),R.NADAL,19/23 (83%),31/59 (53%),53,80,13,35/45 (78%),14/17 (82%),82,28,193,179,151
